timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,bbl_20_2.0,bbm_20_2.0,bbu_20_2.0,bbb_20_2.0,bbp_20_2.0,rsi_14,macd_12_26_9,macdh_12_26_9,macds_12_26_9,atr_14,obv,isa_9,isb_26,its_9,iks_26,ics_26,ao,stochk_14_3_3,stochd_14_3_3,cmf,adx_14,dmp_14,dmn_14,psar,kcle_20_2,kcbe_20_2,kcue_20_2,sqz_20_2.0_20_1.5,sqz_on,sqz_off,sqz_no,CDL_DOJI_10_0.1,zscore_14,volatility_ratio,roc_10,SUPERT_14_3.0,SUPERTd_14_3.0,SUPERTl_14_3.0,SUPERTs_14_3.0,SQZPRO_20_2.0_20_2_1.5_1,SQZPRO_ON_WIDE,SQZPRO_ON_NORMAL,SQZPRO_ON_NARROW,SQZPRO_OFF,SQZPRO_NO,vwap,ma_crossover,rsi_signal,supertrend_signal,combined_signal,signal
2025-04-07 16:15:00,0.501,0.5116,0.4956,0.5087,111358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111358.0,0.0,0.0,0.0,0.0,0.5461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.5053000000000001,-1,1,1,0.3333333333333333,1
2025-04-07 16:30:00,0.508,0.51,0.498,0.5019,148685.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37327.44,0.0,0.0,0.0,0.0,0.5416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.5041564569058155,-1,1,1,0.3333333333333333,1
2025-04-07 16:45:00,0.4998,0.4998,0.476,0.48,1309395.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1346722.5,0.0,0.0,0.0,0.0,0.5411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.4883965542249665,-1,1,1,0.3333333333333333,1
2025-04-07 17:00:00,0.48,0.4976,0.48,0.4926,256589.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1090132.8,0.0,0.0,0.0,0.0,0.5423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.48863123496559363,-1,1,1,0.3333333333333333,1
2025-04-07 17:15:00,0.4907,0.5016,0.4907,0.5011,154742.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-935390.68,0.0,0.0,0.0,0.0,0.5527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.48934751899150025,-1,1,1,0.3333333333333333,1
2025-04-07 17:30:00,0.5005,0.5081,0.4975,0.5068,34758.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-900632.25,0.0,0.0,0.0,0.0,0.5574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.4896025050306692,-1,1,1,0.3333333333333333,1
2025-04-07 17:45:00,0.5073,0.5151,0.5037,0.5135,212676.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-687955.75,0.0,0.0,0.0,0.0,0.5448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.49162257020293204,-1,1,1,0.3333333333333333,1
2025-04-07 18:00:00,0.5138,0.5161,0.5064,0.5124,204484.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-892439.9299999999,0.0,0.0,0.0,0.0,0.5433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476782,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.4933046116667675,-1,1,1,0.3333333333333333,1
2025-04-07 18:15:00,0.511,0.5217,0.5105,0.5113,184763.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1077203.52,0.0,0.0,0.49885,0.0,0.5441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47835472,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.49480077454341476,-1,1,1,0.3333333333333333,1
2025-04-07 18:30:00,0.5111,0.521,0.508,0.5205,209156.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-868046.9,0.0,0.0,0.49885,0.0,0.5535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4809554368,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,1,0.4964064213185801,-1,1,1,0.3333333333333333,1
